feature,mean_abs_shap
num_sites,0.044503760223726374
healthy_volunteers,0.024375445751624175
sponsor_class_INDUSTRY,0.020608210990626062
sponsor_class_OTHER,0.020525311212749316
is_fda_regulated_drug,0.01361977127451065
num_secondary_outcomes,0.013211766187517435
age_range_years,0.010140427450909267
has_dmc,0.009946483695919519
masking_NONE,0.009321896780396795
num_collaborators,0.008138126443547174
phases_PHASE2,0.007361112174488257
max_age_years,0.0072526158128745416
intervention_model_SINGLE_GROUP,0.006939783738881225
num_primary_outcomes,0.005590591510044367
min_age_years,0.0049477711159907805
intervention_model_CROSSOVER,0.004835146598261442
num_drugs,0.0047425125432028386
phases_PHASE3,0.004350566862373067
years_since_approval,0.004116458260258186
phases_PHASE1,0.003583664997718934
num_conditions,0.003566841294047418
phases_NA,0.0033708487985911672
approval_year,0.0032061122234277413
masking_UNKNOWN,0.003001872935427997
phases_PHASE1|PHASE2,0.0026871749031647145
intervention_model_SEQUENTIAL,0.002313332786031929
intervention_model_UNKNOWN,0.002234109572998127
has_fda_record,0.002172830326314266
primary_purpose_PREVENTION,0.0021418895695324964
masking_DOUBLE,0.002104892407138406
primary_purpose_UNKNOWN,0.0021000096142220993
sponsor_class_NIH,0.0014906830667070637
phases_UNKNOWN,0.0013327195202438057
masking_SINGLE,0.0013107162235223707
submission_type_SUPPL,0.0009279718684869383
sex_FEMALE,0.0008632570444812062
masking_TRIPLE,0.0008401416923712165
dosage_form_TABLET,0.0008330120078430314
therapeutic_class_epc_OTHER,0.0007710225608127299
primary_purpose_BASIC_SCIENCE,0.00076595809884687
sex_MALE,0.0007604821078680278
route_INJECTION,0.0006946851579654389
application_type_NDA,0.0006450330837081134
dosage_form_INJECTABLE,0.0005857114030520616
mechanism_of_action_OTHER,0.0005573075987545912
application_type_BLA,0.0005062106096569224
phases_PHASE2|PHASE3,0.00042935373573462507
primary_purpose_OTHER,0.000408311988137453
dosage_form_CAPSULE,0.00038899814884357466
primary_purpose_SUPPORTIVE_CARE,0.0003690901495770437
route_INTRAVENOUS,0.0003554238831219902
sponsor_class_OTHER_GOV,0.000344641874048141
priority_review,0.00031257347577894013
primary_purpose_DIAGNOSTIC,0.000302158785872254
dosage_form_SOLUTION,0.00028601272918938263
review_priority_PRIORITY,0.00027731706262396836
therapeutic_class_epc_Nucleoside Metabolic Inhibitor [EPC],0.00025214242748355735
mechanism_of_action_Nucleic Acid Synthesis Inhibitors [MoA],0.00024087712390503664
route_SUBCUTANEOUS,0.00022451210291258428
phases_EARLY_PHASE1,0.00020746255338274295
mechanism_of_action_Programmed Death Receptor-1-directed Antibody Interactions [MoA],0.00019138561076189887
marketing_status_Discontinued,0.00018613535132653712
therapeutic_class_epc_Programmed Death Receptor-1 Blocking Antibody [EPC],0.00016540167050095464
therapeutic_class_epc_Kinase Inhibitor [EPC],0.00015341085524061786
therapeutic_class_epc_Platinum-based Drug [EPC],0.00014566407704832098
mechanism_of_action_Programmed Death Ligand-1 Antagonists [MoA],0.00011808555078660643
sponsor_class_NETWORK,0.00011482402226688854
therapeutic_class_epc_Corticosteroid [EPC],0.00011289565898127943
mechanism_of_action_Corticosteroid Hormone Receptor Agonists [MoA],0.00010545609207670779
intervention_model_FACTORIAL,0.00010146352513549138
dosage_form_SYSTEM,0.00010141926445968249
route_INTRAVESICAL,0.00009937796916644779
route_OPHTHALMIC,0.00009797137841886107
therapeutic_class_epc_Vascular Endothelial Growth Factor Inhibitor [EPC],0.00009741433837358486
dosage_form_VIAL,0.00009252739210249452
therapeutic_class_epc_Amide Local Anesthetic [EPC],0.00008934547266968503
marketing_status_Over-the-counter,0.00008428469226138444
therapeutic_class_epc_Insulin Analog [EPC],0.0000815906351375708
dosage_form_FOR SUSPENSION,0.00008074355863061455
primary_purpose_HEALTH_SERVICES_RESEARCH,0.00008047172175675478
route_TOPICAL,0.00007989075956273958
product_type_HUMAN OTC DRUG,0.00007678792961870152
dosage_form_POWDER,0.00007375564382523924
mechanism_of_action_Cyclooxygenase Inhibitors [MoA],0.00007298339106515712
therapeutic_class_epc_Nonsteroidal Anti-inflammatory Drug [EPC],0.00006893407899312334
route_TRANSDERMAL,0.00006585275768568824
therapeutic_class_epc_Atypical Antipsychotic [EPC],0.00006498980271502444
mechanism_of_action_Glucagon-like Peptide-1 (GLP-1) Agonists [MoA],0.00006095595132944665
therapeutic_class_epc_HMG-CoA Reductase Inhibitor [EPC],0.00005644983674819395
dosage_form_SUSPENSION/DROPS,0.00005624352626432443
review_priority_N/A,0.00005578528671778782
"route_INTRAVENOUS, SUBCUTANEOUS",0.00005573752943999362
mechanism_of_action_Vascular Endothelial Growth Factor Inhibitors [MoA],0.00005558311953119142
mechanism_of_action_Protein Kinase Inhibitors [MoA],0.00005020354375384481
mechanism_of_action_CD20-directed Antibody Interactions [MoA],0.00004974720069138397
mechanism_of_action_Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA],0.00004928313852578827
dosage_form_SOLUTION/DROPS,0.00004667779219018997
mechanism_of_action_Vascular Endothelial Growth Factor-directed Antibody Interactions [MoA],0.00004605260248898154
therapeutic_class_epc_CD20-directed Cytolytic Antibody [EPC],0.000045942511295769444
therapeutic_class_epc_Alkylating Drug [EPC],0.00004500935698948681
therapeutic_class_epc_Leukocyte Growth Factor [EPC],0.00004428908820401523
dosage_form_SUSPENSION,0.00004428419799053457
dosage_form_FOR SOLUTION,0.00004243043411181542
dosage_form_OINTMENT,0.00004077428144917258
mechanism_of_action_Alkylating Activity [MoA],0.00004071897577790033
"dosage_form_CAPSULE, DELAYED REL PELLETS",0.000039080207085022645
mechanism_of_action_Cytochrome P450 3A4 Inhibitors [MoA],0.000037483614400713825
therapeutic_class_epc_Tumor Necrosis Factor Blocker [EPC],0.000034768872470519215
"dosage_form_INJECTABLE, LIPOSOMAL",0.00003475556770050887
therapeutic_class_epc_GLP-1 Receptor Agonist [EPC],0.00003416626494133249
mechanism_of_action_Tumor Necrosis Factor Receptor Blocking Activity [MoA],0.000032885213498479015
mechanism_of_action_HER1 Antagonists [MoA],0.000032284945550498445
route_INHALATION,0.000032257566729568866
dosage_form_SYRINGE,0.0000317431411522052
dosage_form_EMULSION,0.00002775082912353839
mechanism_of_action_Dipeptidyl Peptidase 4 Inhibitors [MoA],0.000027450436826741208
"dosage_form_TABLET, DELAYED RELEASE",0.000026858908256422918
route_INTRAMUSCULAR,0.00002678865715735222
"dosage_form_TABLET, FOR SUSPENSION",0.000026175922788838692
route_SINGLE-USE,0.000025629211653956468
therapeutic_class_epc_General Anesthetic [EPC],0.000025538685101734046
therapeutic_class_epc_Epidermal Growth Factor Receptor Antagonist [EPC],0.000025049744611534978
dosage_form_GEL,0.00002377258322927065
"dosage_form_CAPSULE, DELAYED RELEASE",0.00002339006915398943
route_IV (INFUSION),0.000022663555700429753
route_IRRIGATION,0.000022387719331797508
"dosage_form_FILM, EXTENDED RELEASE",0.000021158198548156916
sponsor_class_INDIV,0.00002067502385788131
therapeutic_class_epc_Microtubule Inhibitor [EPC],0.000019908849127269647
review_priority_901 REQUIRED,0.00001891035007754866
mechanism_of_action_Proteasome Inhibitors [MoA],0.000018192302289743396
dosage_form_CREAM,0.00001527852716012492
mechanism_of_action_Full Opioid Agonists [MoA],0.000014066434919197667
"dosage_form_CAPSULE, EXTENDED RELEASE",0.000013163443919423687
dosage_form_SYRUP,0.000012930154925370182
route_SOLUTION,0.000012219865825339011
"dosage_form_SPRAY, METERED",0.000012133150896552251
mechanism_of_action_Acetylcholine Release Inhibitors [MoA],0.000011674091816958383
dosage_form_GAS,0.000011247069761140874
dosage_form_INJECTION,0.000010135872960192496
route_NASAL,9.510650230911974e-6
dosage_form_LIQUID,8.784642376495527e-6
primary_purpose_SCREENING,7.852699150489922e-6
marketing_status_None (Tentative Approval),6.200939336862685e-6
